id,first_name,last_name,job_title,email,account_id,lead_id,created_at
7a07f031-af10-4d6b-ad01-438e7471a214,Amy,Huffman,Operations Manager,amy.huffman@yangromero.com,3bedfbff-aa78-4de7-b44b-25a000a1e3a6,056d1506-427d-47c7-9d09-bed617869625,2021-06-06T01:23:43Z
8366a941-b487-4ac5-9f40-01cca27bc14f,Pedro,Hernandez,CEO,pedro.hernandez@pricerodriguezandmorton.com,d496b628-c03c-4405-8844-8fcfa0576c7f,e3cf3970-86b5-42ec-b1e6-9d520ba3b4d4,2021-09-21T03:20:08Z
fc4c4e9c-052c-4eb5-ab1c-1d62d0b3b853,Justin,Wood,IT Director,justin.wood@robertsonandsons.com,3deda926-5e29-49c1-8571-9adcb0585bcb,7c9cfdd6-191e-41ba-abc1-313b92efa6de,2022-02-03T11:33:53Z
86415932-5cad-4c42-ba38-977de02cf5a7,John,Wright,Administrative Assistant,john.wright@hickmaninc.com,7aa64fd8-56de-4971-b5af-a4324630418a,9e67c743-c176-4e71-b366-c0d313d87cd8,2022-02-08T22:51:51Z
f680c379-cb0f-4bac-a9b7-486c18dd7905,Andrea,Garcia,IT Director,andrea.garcia@andersonchapman.com,a09c1f08-5dfa-4aad-a7d2-77b7330bceb1,46c81da7-49b5-4e57-ac98-8e41a8f882d6,2022-01-19T09:03:11Z
b239fab5-a7bf-4915-8e02-0619c3152120,Matthew,James,IT Analyst,matthew.james@schwartzllc.com,75c07fc1-b9cd-4af5-a392-d3fc4245f316,f41c7ca2-5dbb-497f-868b-5ff9122f49ed,2022-02-05T23:23:18Z
b063cea5-2db4-48cc-bfd4-5303f8ae05e1,Kelly,Day,IT Analyst,kelly.day@johnsonyoungandcruz.com,6086d7e5-7ba6-45ac-8da6-bdc691f6cbdf,c1eabfa6-2f25-4a37-850c-4465b919fbdf,2021-10-03T04:56:37Z
ab678650-fd03-4223-97bf-83da54dd43a8,Daniel,Parker,Director of Operations,daniel.parker@robinsonkirkandcooper.com,a63cb611-2414-47ce-a9b2-41135d813ff7,90e45488-5934-4a21-a9e8-ae9a4a07b719,2021-07-28T16:51:25Z
581bd86b-cab0-498e-a3dd-8838a177f3d4,Roberto,Smith,IT Analyst,roberto.smith@fordberryandsmith.com,98c6520b-2e3a-4032-8973-11b757530fd7,6c011da6-34ab-4010-b37d-d70c188369cd,2021-09-07T00:14:47Z
ccf4c3e0-db23-4f14-8d1a-dfa63d2efceb,Gwendolyn,Stephens,IT Analyst,gwendolyn.stephens@myersmartinandgross.com,9ab582ec-f45a-46f4-b133-96291ab2e8e1,bea8549b-0eac-42a9-ae8c-aa39fcab3c3f,2021-08-14T12:17:40Z
